Date,Team 1,Team 2,Team 1 Score,Team 2 Score,Winner
2025-03-22,Kolkata Knight Riders,Royal Challengers Bengaluru,174,177,Royal Challengers Bengaluru
2025-03-23,Sunrisers Hyderabad,Rajasthan Royals,286,242,Sunrisers Hyderabad
2025-03-24,Chennai Super Kings,Mumbai Indians,155,156,Mumbai Indians
2025-03-25,Gujarat Titans,Punjab Kings,171,243,Punjab Kings
2025-03-26,Rajasthan Royals,Kolkata Knight Riders,151,153,Kolkata Knight Riders
2025-03-27,Royal Challengers Bengaluru,Chennai Super Kings,196,146,Royal Challengers Bengaluru
2025-03-28,Kolkata Knight Riders,Sunrisers Hyderabad,200,204,Sunrisers Hyderabad
2025-03-29,Lucknow Super Giants,Punjab Kings,199,178,Lucknow Super Giants
2025-03-30,Gujarat Titans,Mumbai Indians,196,160,Gujarat Titans
2025-03-31,Rajasthan Royals,Chennai Super Kings,182,176,Rajasthan Royals
