Match_ID,Season,Team 1,Team 2,Winner,Venue
0,Sample Header,Practice Row,Practice Row,Practice,Training Venue
-1,Remove This Row,Practice Row,Practice Row,Practice,Training Venue
1,2015,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,"MA Chidambaram Stadium, Chennai"
2,2021,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,"Ekana Cricket Stadium, Lucknow"
3,2015,Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings,"MA Chidambaram Stadium, Chennai"
4,2021,Gujarat Titans,Chennai Super Kings,Gujarat Titans,"Punjab Cricket Association IS Bindra Stadium, Mohali"
5,2013,Kolkata Knight Riders,Punjab Kings,Punjab Kings,"Wankhede Stadium, Mumbai"
6,2014,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,"Eden Gardens, Kolkata"
7,2011,Delhi Capitals,Mumbai Indians,Delhi Capitals,"Arun Jaitley Stadium, Delhi"
8,2022,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,"Wankhede Stadium, Mumbai"
9,2025,Gujarat Titans,Mumbai Indians,Mumbai Indians,"M Chinnaswamy Stadium, Bengaluru"
10,2009,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,"M Chinnaswamy Stadium, Bengaluru"
11,2011,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai"
12,2013,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,"Rajiv Gandhi International Stadium, Hyderabad"
13,2010,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad"
14,2022,Lucknow Super Giants,Royal Challengers Bangalore,Lucknow Super Giants,"Eden Gardens, Kolkata"
15,2009,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Hyderabad"
16,2016,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,"Arun Jaitley Stadium, Delhi"
17,2023,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai"
18,2012,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,"Narendra Modi Stadium, Ahmedabad"
19,2021,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,"Ekana Cricket Stadium, Lucknow"
20,2012,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chennai"
21,2011,Gujarat Titans,Punjab Kings,Gujarat Titans,"Wankhede Stadium, Mumbai"
22,2010,Gujarat Titans,Punjab Kings,Gujarat Titans,"Wankhede Stadium, Mumbai"
23,2016,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,"Punjab Cricket Association IS Bindra Stadium, Mohali"
24,2016,Gujarat Titans,Chennai Super Kings,Gujarat Titans,"Punjab Cricket Association IS Bindra Stadium, Mohali"
